Location / Property Name,Type,Beds,Baths,Square Footage (Approx.),Monthly Rent Range,Estimated Price Per Square Foot (PPSF),
"Tonawanda, NY / North Tonawanda",,,,,,,
600 River Road Apartments,Luxury Apt/Condo,Studio,1,785 - 945 sq ft,"$1,695 - $1,785",$1.90 - $2.16,
600 River Road Apartments,Luxury Apt/Condo,1,1,860 sq ft,"$1,695",$1.97,
600 River Road Apartments,Luxury Apt/Condo,2,2,"1,035 - 1,700 sq ft","$1,995 - $4,995",$1.93 - $2.94,
600 River Road Apartments,Luxury Apt/Condo,3,2,"1,660 sq ft","$3,995",$2.41,
622 River Rd,Luxury Apt/Condo,Studio,1,"1,680 - 2,000 sq ft","$3,684",$1.84 - $2.19,
622 River Rd,Luxury Apt/Condo,1,1,840 sq ft,"$1,840",$2.19,
622 River Rd,Luxury Apt/Condo,2,1,"1,195 sq ft","$2,495",$2.09,
The Exchange Luxury Apartments,Luxury Apt,1,--,N/A (typical for 1-bed),"$1,950+",~ $2.00 - $2.50+,
The Exchange Luxury Apartments,Luxury Apt,2,--,N/A (typical for 2-bed),"$2,350+",~ $1.80 - $2.20+,
,,,,,,,
"Erie County, NY (Various Luxury Areas)",,,,,,,
Buffalo (Downtown/Luxury),,,,,,,
237 Main St (Units),Luxury Apt/Condo,Studio,1,"1,242 sq ft","$2,740",$2.21,
237 Main St (Units),Luxury Apt/Condo,1,1,"1,051 - 1,068 sq ft","$2,085 - $2,285",$1.95 - $2.14,
237 Main St (Units),Luxury Apt/Condo,2,2,"1,428 - 1,765 sq ft","$2,840 - $3,435",$1.99 - $2.09,
237 Main St (Units),Luxury Apt/Condo,3,2,"1,986 - 2,370 sq ft","$3,740 - $4,035",$1.78 - $1.89,
Nineteen North,Luxury Apt,1,1,"873 - 1,058 sq ft","$1,850 - $2,395",$2.12 - $2.26,
Nineteen North,Luxury Apt,2,1-2,"994 - 1,537 sq ft","$2,495 - $2,975",$1.95 - $2.51,
The Lofts at Elk Terminal,Luxury Loft,1,1,"933 - 1,530 sq ft","$1,695 - $2,025",$1.32 - $1.82,
Vistas at Avant,Luxury Apt,Studio,1,N/A,"$2,130 - $3,820",~ $2.50 - $4.00+,
Amherst / Williamsville,,,,,,,
Asher Crossing,Luxury Apt/Townhome,2,2-2.5,"1,079 - 1,254 sq ft","$2,380+",$1.90 - $2.21,
Williams Place,Luxury Apt,2,2,"1,263 sq ft","$2,650",$2.10,
Renaissance Place Apartments,Luxury Apt,1,1,783 - 832 sq ft,"$1,690 - $1,761",$2.03 - $2.16,
Renaissance Place Apartments,Luxury Apt,2,2,"1,003 - 1,344 sq ft","$1,959 - $2,669",$1.95 - $1.98,
Renaissance Place Apartments,Luxury Apt,3,2,"1,284 - 1,344 sq ft","$2,479 - $2,708",$1.84 - $2.11,
The Jonas (Village Walk),Luxury Apt,3,2,"1,650 sq ft","$3,400",$2.06,
The Exchange Luxury Apartments,Luxury Apt,2,2,"1,669 sq ft","$2,400",$1.44,
Maple Brooke & Hunt Club Townhomes,Luxury Townhome,2,2.5,"1,459 sq ft","$2,450",$1.68,
,,,,,,,
